"No","Opening Date","Withdrawl Date","Days","Financial Year","Earnings.Type","Gross Earnings","Profit","Cut.Start","Cut.End"
50,07-Dec-04,22-Mar-07,835,2007,"S",1413246.03,1326205.9900,1109000.0000,1533000.0000
49,23-Dec-04,22-Mar-07,819,2007,"S",1248013,1176615.2200,1109000.0000,1533000.0000
79,11-Jan-05,04-Mar-08,1148,2008,"S",4444000,3941146.1100,3370000.0000,4000000.0000
24,14-Jan-05,14-Feb-06,396,2006,"WD",0,-91400.0000,-74000.0000,-100000.0000
51,28-Feb-05,22-Mar-07,752,2007,"S",1102997,862847.2300,801000.0000,900000.0000
21,24-Mar-05,30-Jun-05,98,2005,"WD",0,-27212.0900,-22000.0000,-42000.0000
94,06-Apr-05,07-Aug-09,1584,2010,"L",0,-1035757.0600,-1000000.0000,-1500000.0000
110,08-Apr-05,15-May-08,1133,2008,"WD",0,-196240.2300,-110000.0000,-196000.0000
33,20-May-05,16-Aug-06,453,2007,"W",207859,175278.1140,122000.0000,200000.0000
135,30-May-05,30-Jun-11,2222,2011,"S",1823879.5,2347928.2200,2070000.0000,3000000.0000
83,20-Jun-05,23-Apr-08,1038,2008,"WD",0,-631229.3400,-501000.0000,-700000.0000
43,01-Jul-05,30-Jan-07,578,2007,"WD",0,-89264.9000,-74000.0000,-100000.0000
75,12-Jul-05,22-Apr-08,1015,2008,"S",21123954,19386873.8600,19000000.0000,21000000.0000
101,21-Jul-05,12-May-09,1391,2009,"S",1434146,810164.0000,801000.0000,900000.0000
27,04-Aug-05,22-May-06,291,2006,"S",1900000,1255771.4000,1109000.0000,1533000.0000
69,16-Aug-05,18-Jan-08,885,2008,"WD",0,-227619.6800,-227000.0000,-501000.0000
66,24-Aug-05,05-Oct-07,772,2008,"S",413513,239999.7300,200000.0000,300000.0000
44,11-Oct-05,09-Nov-06,394,2007,"WD",0,-15281.1600,0.0000,-20000.0000
52,09-Dec-05,22-Mar-07,468,2007,"S",39238,36664.4100,36000.0000,101000.0000
63,20-Feb-06,02-Oct-07,589,2008,"S",225167.02,169650.9400,122000.0000,200000.0000
160,21-Mar-06,31-Dec-10,1746,2011,"WD",0,-583762.5100,-501000.0000,-700000.0000
46,28-Mar-06,15-Jan-07,293,2007,"S",369901,217515.2300,200000.0000,300000.0000
104,28-Mar-06,17-Aug-09,1238,2010,"S",1400875,877556.3300,801000.0000,900000.0000
125,28-Mar-06,09-Aug-10,1595,2011,"S",1942940,1422255.8200,1109000.0000,1533000.0000
124,28-Mar-06,18-Jun-10,1543,2010,"S",3195570,2265350.0000,2070000.0000,3000000.0000
108,30-Mar-06,30-Sep-09,1280,2010,"S",313719,122399.1400,122000.0000,200000.0000
112,21-Apr-06,14-May-10,1484,2010,"S",50000,-4572.8100,0.0000,-20000.0000
37,22-Jun-06,21-Sep-06,91,2007,"S",518151,468686.3100,364000.0000,500000.0000
103,11-Jul-06,24-Jul-09,1109,2010,"S",2550519,1350977.6600,1109000.0000,1533000.0000
100,20-Jul-06,16-Mar-09,970,2009,"S",6770382,5275551.3200,4700000.0000,6120000.0000
60,23-Aug-06,13-May-08,629,2008,"L",0,-1151500.2600,-1000000.0000,-1500000.0000
47,21-Sep-06,20-Dec-06,90,2007,"S",123024,89402.5500,36000.0000,101000.0000
57,29-Sep-06,02-Apr-07,185,2007,"S",786170.75,364051.9700,364000.0000,500000.0000
97,09-Oct-06,04-Sep-08,696,2009,"S",3433909,2527958.2000,2070000.0000,3000000.0000
113,11-Oct-06,04-Jul-07,266,2008,"S",0,-83928.0300,-74000.0000,-100000.0000
156,24-Nov-06,28-May-07,185,2007,"WD",0,-1131.0200,0.0000,-20000.0000
61,04-Dec-06,03-Sep-07,273,2008,"WD",0,-22943.4000,-22000.0000,-42000.0000
123,05-Dec-06,27-Apr-10,1239,2010,"S",16509881,8514801.0000,8000000.0000,9000000.0000
78,22-Dec-06,16-Feb-08,421,2008,"S",2735306,2397622.5200,2070000.0000,3000000.0000
